id,firstName,lastName,fullName,sweaterNumber,positionCode,shootsCatches,heightInInches,weightInPounds,birthDate,birthCountry,headshot
8482703,Colton,Dach,Colton Dach,34,C,L,76,218,2003-01-04,CAN,https://assets.nhle.com/mugs/nhl/20252026/EDM/8482703.png
8477450,Jason,Dickinson,Jason Dickinson,16,C,L,74,200,1995-07-04,CAN,https://assets.nhle.com/mugs/nhl/20252026/EDM/8477450.png
8477934,Leon,Draisaitl,Leon Draisaitl,29,C,L,74,209,1995-10-27,DEU,https://assets.nhle.com/mugs/nhl/20252026/EDM/8477934.png
8479365,Trent,Frederic,Trent Frederic,10,C,L,75,221,1998-02-11,USA,https://assets.nhle.com/mugs/nhl/20252026/EDM/8479365.png
8474641,Adam,Henrique,Adam Henrique,19,C,L,72,195,1990-02-06,CAN,https://assets.nhle.com/mugs/nhl/20252026/EDM/8474641.png
8475786,Zach,Hyman,Zach Hyman,18,L,R,73,206,1992-06-09,CAN,https://assets.nhle.com/mugs/nhl/20252026/EDM/8475786.png
8477406,Mattias,Janmark,Mattias Janmark,13,C,L,74,205,1992-12-08,SWE,https://assets.nhle.com/mugs/nhl/20252026/EDM/8477406.png
8479368,Max,Jones,Max Jones,46,L,L,75,216,1998-02-17,USA,https://assets.nhle.com/mugs/nhl/20252026/EDM/8479368.png
8477953,Kasperi,Kapanen,Kasperi Kapanen,42,R,R,73,194,1996-07-23,FIN,https://assets.nhle.com/mugs/nhl/20252026/EDM/8477953.png
8477508,Curtis,Lazar,Curtis Lazar,20,C,R,72,203,1995-02-02,CAN,https://assets.nhle.com/mugs/nhl/20252026/EDM/8477508.png
8478402,Connor,McDavid,Connor McDavid,97,C,L,73,194,1997-01-13,CAN,https://assets.nhle.com/mugs/nhl/20252026/EDM/8478402.png
8476454,Ryan,Nugent-Hopkins,Ryan Nugent-Hopkins,93,C,L,73,192,1993-04-12,CAN,https://assets.nhle.com/mugs/nhl/20252026/EDM/8476454.png
8481617,Vasily,Podkolzin,Vasily Podkolzin,92,R,L,73,190,2001-06-24,RUS,https://assets.nhle.com/mugs/nhl/20252026/EDM/8481617.png
8478458,Jack,Roslovic,Jack Roslovic,28,C,R,73,198,1997-01-29,USA,https://assets.nhle.com/mugs/nhl/20252026/EDM/8478458.png
8484509,Josh,Samanski,Josh Samanski,81,C,L,74,195,2002-03-22,DEU,https://assets.nhle.com/mugs/nhl/20252026/EDM/8484509.png
8483512,Matt,Savoie,Matt Savoie,22,C,R,70,179,2004-01-01,CAN,https://assets.nhle.com/mugs/nhl/20252026/EDM/8483512.png
8480803,Evan,Bouchard,Evan Bouchard,2,D,R,75,192,1999-10-20,CAN,https://assets.nhle.com/mugs/nhl/20252026/EDM/8480803.png
8475218,Mattias,Ekholm,Mattias Ekholm,14,D,L,77,225,1990-05-24,SWE,https://assets.nhle.com/mugs/nhl/20252026/EDM/8475218.png
8480834,Ty,Emberson,Ty Emberson,49,D,R,72,193,2000-05-23,USA,https://assets.nhle.com/mugs/nhl/20252026/EDM/8480834.png
8476473,Connor,Murphy,Connor Murphy,5,D,R,76,212,1993-03-26,USA,https://assets.nhle.com/mugs/nhl/20252026/EDM/8476473.png
8477498,Darnell,Nurse,Darnell Nurse,25,D,L,76,215,1995-02-04,CAN,https://assets.nhle.com/mugs/nhl/20252026/EDM/8477498.png
8481056,Spencer,Stastney,Spencer Stastney,24,D,L,72,184,2000-01-04,USA,https://assets.nhle.com/mugs/nhl/20252026/EDM/8481056.png
8478013,Jake,Walman,Jake Walman,96,D,L,73,218,1996-02-20,CAN,https://assets.nhle.com/mugs/nhl/20252026/EDM/8478013.png
8478971,Connor,Ingram,Connor Ingram,39,G,L,73,218,1997-03-31,CAN,https://assets.nhle.com/mugs/nhl/20252026/EDM/8478971.png
8477465,Tristan,Jarry,Tristan Jarry,35,G,L,76,201,1995-04-29,CAN,https://assets.nhle.com/mugs/nhl/20252026/EDM/8477465.png
8475717,Calvin,Pickard,Calvin Pickard,30,G,L,73,206,1992-04-15,CAN,https://assets.nhle.com/mugs/nhl/20252026/EDM/8475717.png
