id,firstName,lastName,fullName,sweaterNumber,positionCode,shootsCatches,heightInInches,weightInPounds,birthDate,birthCountry,headshot
8478444,Brock,Boeser,Brock Boeser,6,R,R,73,208,1997-02-25,USA,https://assets.nhle.com/mugs/nhl/20262027/VAN/8478444.png
8480078,Filip,Chytil,Filip Chytil,77,C,L,74,210,1999-09-05,CZE,https://assets.nhle.com/mugs/nhl/20262027/VAN/8480078.png
8481032,Paul,Cotter,Paul Cotter,47,L,L,74,213,1999-11-16,USA,https://assets.nhle.com/mugs/nhl/20262027/VAN/8481032.png
8478498,Jake,DeBrusk,Jake DeBrusk,74,L,L,73,198,1996-10-17,CAN,https://assets.nhle.com/mugs/nhl/20262027/VAN/8478498.png
8475848,Brendan,Gallagher,Brendan Gallagher,7,R,R,69,185,1992-05-06,CAN,https://assets.nhle.com/mugs/nhl/20262027/VAN/8475848.png
8481024,Linus,Karlsson,Linus Karlsson,94,C,R,73,178,1999-11-16,SWE,https://assets.nhle.com/mugs/nhl/20262027/VAN/8481024.png
8482055,Drew,O'Connor,Drew O'Connor,18,L,L,76,209,1998-06-09,USA,https://assets.nhle.com/mugs/nhl/20262027/VAN/8482055.png
8483499,Liam,Ohgren,Liam Ohgren,92,L,L,72,187,2004-01-28,SWE,https://assets.nhle.com/mugs/nhl/20262027/VAN/8483499.png
8480012,Elias,Pettersson,Elias Pettersson,40,C,L,74,176,1998-11-12,SWE,https://assets.nhle.com/mugs/nhl/20262027/VAN/8480012.png
8482691,Aatu,Räty,Aatu Räty,54,C,L,74,204,2002-11-14,FIN,https://assets.nhle.com/mugs/nhl/20262027/VAN/8482691.png
8482079,Marco,Rossi,Marco Rossi,23,C,L,69,182,2001-09-23,AUT,https://assets.nhle.com/mugs/nhl/20262027/VAN/8482079.png
8484136,Max,Sasson,Max Sasson,63,C,L,73,181,2000-09-05,USA,https://assets.nhle.com/mugs/nhl/20262027/VAN/8484136.png
8484798,Zeev,Buium,Zeev Buium,8,D,L,72,183,2005-12-07,USA,https://assets.nhle.com/mugs/nhl/20262027/VAN/8484798.png
8479425,Filip,Hronek,Filip Hronek,17,D,R,72,190,1997-11-02,CZE,https://assets.nhle.com/mugs/nhl/20262027/VAN/8479425.png
8483768,Victor,Mancini,Victor Mancini,90,D,R,75,229,2002-05-26,USA,https://assets.nhle.com/mugs/nhl/20262027/VAN/8483768.png
8476467,Jamie,Oleksiak,Jamie Oleksiak,4,D,L,79,252,1992-12-21,CAN,https://assets.nhle.com/mugs/nhl/20262027/VAN/8476467.png
8483678,Elias,Pettersson,Elias Pettersson,25,D,L,74,185,2004-02-16,SWE,https://assets.nhle.com/mugs/nhl/20262027/VAN/8483678.png
8474568,Luke,Schenn,Luke Schenn,2,D,R,74,225,1989-11-02,CAN,https://assets.nhle.com/mugs/nhl/20262027/VAN/8474568.png
8484240,Tom,Willander,Tom Willander,5,D,R,73,180,2005-02-09,SWE,https://assets.nhle.com/mugs/nhl/20262027/VAN/8484240.png
8477967,Thatcher,Demko,Thatcher Demko,35,G,L,76,192,1995-12-08,USA,https://assets.nhle.com/mugs/nhl/20262027/VAN/8477967.png
8480947,Kevin,Lankinen,Kevin Lankinen,32,G,L,74,190,1995-04-28,FIN,https://assets.nhle.com/mugs/nhl/20262027/VAN/8480947.png
8484268,Nikita,Tolopilo,Nikita Tolopilo,60,G,L,78,229,2000-04-06,BLR,https://assets.nhle.com/mugs/nhl/20262027/VAN/8484268.png
