id,firstName,lastName,fullName,sweaterNumber,positionCode,shootsCatches,heightInInches,weightInPounds,birthDate,birthCountry,headshot
8478427,Sebastian,Aho,Sebastian Aho,20,C,L,72,189,1997-07-26,FIN,https://assets.nhle.com/mugs/nhl/20252026/CAR/8478427.png
8482809,Jackson,Blake,Jackson Blake,53,R,R,71,185,2003-08-03,USA,https://assets.nhle.com/mugs/nhl/20252026/CAR/8482809.png
8477478,William,Carrier,William Carrier,28,L,L,74,214,1994-12-20,CAN,https://assets.nhle.com/mugs/nhl/20252026/CAR/8477478.png
8475235,Nicolas,Deslauriers,Nicolas Deslauriers,44,L,L,73,218,1991-02-22,CAN,https://assets.nhle.com/mugs/nhl/20252026/CAR/8475235.png
8477940,Nikolaj,Ehlers,Nikolaj Ehlers,27,L,L,72,168,1996-02-14,DNK,https://assets.nhle.com/mugs/nhl/20252026/CAR/8477940.png
8475791,Taylor,Hall,Taylor Hall,71,L,L,73,210,1991-11-14,CAN,https://assets.nhle.com/mugs/nhl/20252026/CAR/8475791.png
8476873,Mark,Jankowski,Mark Jankowski,77,L,L,76,200,1994-09-13,CAN,https://assets.nhle.com/mugs/nhl/20252026/CAR/8476873.png
8482093,Seth,Jarvis,Seth Jarvis,24,C,R,70,180,2002-02-01,CAN,https://assets.nhle.com/mugs/nhl/20252026/CAR/8482093.png
8480829,Jesperi,Kotkaniemi,Jesperi Kotkaniemi,82,C,L,75,212,2000-07-06,FIN,https://assets.nhle.com/mugs/nhl/20252026/CAR/8480829.png
8476921,Jordan,Martinook,Jordan Martinook,48,L,L,73,208,1992-07-25,CAN,https://assets.nhle.com/mugs/nhl/20252026/CAR/8476921.png
8480762,Eric,Robinson,Eric Robinson,50,L,L,74,220,1995-06-14,USA,https://assets.nhle.com/mugs/nhl/20252026/CAR/8480762.png
8473533,Jordan,Staal,Jordan Staal,11,C,L,76,220,1988-09-10,CAN,https://assets.nhle.com/mugs/nhl/20252026/CAR/8473533.png
8482702,Logan,Stankoven,Logan Stankoven,22,C,R,68,165,2003-02-26,CAN,https://assets.nhle.com/mugs/nhl/20252026/CAR/8482702.png
8480830,Andrei,Svechnikov,Andrei Svechnikov,37,R,L,75,200,2000-03-26,RUS,https://assets.nhle.com/mugs/nhl/20252026/CAR/8480830.png
8478970,Jalen,Chatfield,Jalen Chatfield,5,D,R,73,209,1996-05-15,USA,https://assets.nhle.com/mugs/nhl/20252026/CAR/8478970.png
8476906,Shayne,Gostisbehere,Shayne Gostisbehere,4,D,L,71,183,1993-04-20,USA,https://assets.nhle.com/mugs/nhl/20252026/CAR/8476906.png
8480817,K'Andre,Miller,K'Andre Miller,19,D,L,77,210,2000-01-21,USA,https://assets.nhle.com/mugs/nhl/20252026/CAR/8480817.png
8482100,Alexander,Nikishin,Alexander Nikishin,21,D,L,75,218,2001-10-02,RUS,https://assets.nhle.com/mugs/nhl/20252026/CAR/8482100.png
8476422,Mike,Reilly,Mike Reilly,6,D,L,74,191,1993-07-13,USA,https://assets.nhle.com/mugs/nhl/20252026/CAR/8476422.png
8476958,Jaccob,Slavin,Jaccob Slavin,74,D,L,75,207,1994-05-01,USA,https://assets.nhle.com/mugs/nhl/20252026/CAR/8476958.png
8480336,Sean,Walker,Sean Walker,26,D,R,71,191,1994-11-13,CAN,https://assets.nhle.com/mugs/nhl/20252026/CAR/8480336.png
8475883,Frederik,Andersen,Frederik Andersen,31,G,L,76,229,1989-10-02,DNK,https://assets.nhle.com/mugs/nhl/20252026/CAR/8475883.png
8483548,Brandon,Bussi,Brandon Bussi,32,G,R,76,218,1998-06-25,USA,https://assets.nhle.com/mugs/nhl/20252026/CAR/8483548.png
8481611,Pyotr,Kochetkov,Pyotr Kochetkov,52,G,L,75,196,1999-06-25,RUS,https://assets.nhle.com/mugs/nhl/20252026/CAR/8481611.png
